gsm_id	sample_name	assay
GSM2635065	CAPTURE-3C-seq_K562_sgHS1-rep1	3C-Seq
GSM2635066	CAPTURE-3C-seq_K562_sgHS1-rep2	3C-Seq
GSM2635067	CAPTURE-3C-seq_K562_sgHS1-combined	3C-Seq
GSM2635068	CAPTURE-3C-seq_K562_sgHS2-rep1	3C-Seq
GSM2635069	CAPTURE-3C-seq_K562_sgHS2-rep2	3C-Seq
GSM2635070	CAPTURE-3C-seq_K562_sgHS2-rep3	3C-Seq
GSM2635071	CAPTURE-3C-seq_K562_sgHS2-combined	3C-Seq
GSM2635072	CAPTURE-3C-seq_K562_sgHS3-rep1	3C-Seq
GSM2635073	CAPTURE-3C-seq_K562_sgHS3-rep2	3C-Seq
GSM2635074	CAPTURE-3C-seq_K562_sgHS3-rep3	3C-Seq
GSM2635075	CAPTURE-3C-seq_K562_sgHS3-combined	3C-Seq
GSM2635076	CAPTURE-3C-seq_K562_sgHS4-rep1	3C-Seq
GSM2635077	CAPTURE-3C-seq_K562_sgHS4-rep2	3C-Seq
GSM2635078	CAPTURE-3C-seq_K562_sgHS4-combined	3C-Seq
GSM2635083	CAPTURE-3C-seq_K562_sgHBB-rep1	3C-Seq
GSM2635084	CAPTURE-3C-seq_K562_sgHBB-rep2	3C-Seq
GSM2635085	CAPTURE-3C-seq_K562_sgHBB-rep3	3C-Seq
GSM2635086	CAPTURE-3C-seq_K562_sgHBB-combined	3C-Seq
GSM2635087	CAPTURE-3C-seq_K562_sgHBG-rep1	3C-Seq
GSM2635088	CAPTURE-3C-seq_K562_sgHBG-rep2	3C-Seq
GSM2635089	CAPTURE-3C-seq_K562_sgHBG-rep3	3C-Seq
GSM2635090	CAPTURE-3C-seq_K562_sgHBG-combined	3C-Seq
GSM2635091	CAPTURE-3C-seq_K562_sgHBD-1kb-rep1	3C-Seq
GSM2635092	CAPTURE-3C-seq_K562_sgHBD-1kb-rep2	3C-Seq
GSM2635093	CAPTURE-3C-seq_K562_sgHBD-1kb-rep3	3C-Seq
GSM2635094	CAPTURE-3C-seq_K562_sgHBD-1kb-combined	3C-Seq
GSM2635095	CAPTURE-3C-seq_K562_sgHBD-1.5kb-rep1	3C-Seq
GSM2635096	CAPTURE-3C-seq_K562_sgHBD-1.5kb-rep2	3C-Seq
GSM2635097	CAPTURE-3C-seq_K562_sgHBD-1.5kb-combined	3C-Seq
GSM2635098	CAPTURE-3C-seq_K562_sgHBD-2kb-rep1	3C-Seq
GSM2635099	CAPTURE-3C-seq_K562_sgHBD-2kb-rep2	3C-Seq
GSM2635100	CAPTURE-3C-seq_K562_sgHBD-2kb-combined	3C-Seq
GSM2635101	CAPTURE-3C-seq_K562_sg3NHS1-rep1	3C-Seq
GSM2635102	CAPTURE-3C-seq_K562_sg3NHS1-rep2	3C-Seq
GSM2635103	CAPTURE-3C-seq_K562_sg3NHS1-rep3	3C-Seq
GSM2635104	CAPTURE-3C-seq_K562_sg3NHS1-combined	3C-Seq
GSM2635105	CAPTURE-3C-seq_K562_sgGal4_no_capture_control	3C-Seq
GSM2635106	CAPTURE-3C-seq_K562_gDNA_control	3C-Seq
GSM2635107	CAPTURE-3C-seq_K562_sgHS2--sg3-rep1	3C-Seq
GSM2635108	CAPTURE-3C-seq_K562_sgHS2--sg3-rep2	3C-Seq
GSM2635109	CAPTURE-3C-seq_K562_sgHS2--sg3-rep3	3C-Seq
GSM2635110	CAPTURE-3C-seq_K562_sgHS2-sg3-combined	3C-Seq
GSM2635111	CAPTURE-3C-seq_K562_sgHS2--sg4-rep1	3C-Seq
GSM2635112	CAPTURE-3C-seq_K562_sgHS2--sg4-rep2	3C-Seq
GSM2635113	CAPTURE-3C-seq_K562_sgHS2--sg4-rep3	3C-Seq
GSM2635114	CAPTURE-3C-seq_K562_sgHS2-sg4-combined	3C-Seq
GSM2635115	CAPTURE-3C-seq_K562_sgHS2--sg5-rep1	3C-Seq
GSM2635116	CAPTURE-3C-seq_K562_sgHS2--sg5-rep2	3C-Seq
GSM2635117	CAPTURE-3C-seq_K562_sgHS2--sg5-rep3	3C-Seq
GSM2635118	CAPTURE-3C-seq_K562_sgHS2-sg5-combined	3C-Seq
GSM2635119	CAPTURE-3C-seq_K562_sgHS3--sg2-rep1	3C-Seq
GSM2635120	CAPTURE-3C-seq_K562_sgHS3--sg2-rep2	3C-Seq
GSM2635121	CAPTURE-3C-seq_K562_sgHS3--sg2-rep3	3C-Seq
GSM2635122	CAPTURE-3C-seq_K562_sgHS3-sg2-combined	3C-Seq
GSM2635123	CAPTURE-3C-seq_K562_sgHS3--sg3-rep1	3C-Seq
GSM2635124	CAPTURE-3C-seq_K562_sgHS3--sg3-rep2	3C-Seq
GSM2635125	CAPTURE-3C-seq_K562_sgHS3-sg3-combined	3C-Seq
