sample_n,sample_name,species,sampleID,fastq_1,fastq_2,genotype,treatment,rep,group
1,WT_LSK_1,Mouse,S31,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0001_S31_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0001_S31_L002_R2_001.fastq.gz,WT,control,WT_LSK_1,WT_WT
2,WT_LSK_2,Mouse,S32,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0002_S32_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0002_S32_L002_R2_001.fastq.gz,WT,control,WT_LSK_2,WT_WT
3,WT_LSK_3,Mouse,S33,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0003_S33_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0003_S33_L002_R2_001.fastq.gz,WT,control,WT_LSK_3,WT_WT
4,WT_LSK_4,Mouse,S34,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0004_S34_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0004_S34_L002_R2_001.fastq.gz,WT,control,WT_LSK_4,WT_WT
5,WT_LSK_5,Mouse,S35,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0005_S35_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0005_S35_L002_R2_001.fastq.gz,WT,control,WT_LSK_5,WT_WT
6,D3A_LSK_1,Mouse,S36,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0006_S36_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0006_S36_L002_R2_001.fastq.gz,D3A,control,D3A_LSK_1,D3A_D3A
7,D3A_LSK_2,Mouse,S37,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0007_S37_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0007_S37_L002_R2_001.fastq.gz,D3A,control,D3A_LSK_2,D3A_D3A
8,D3A_LSK_3,Mouse,S38,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0008_S38_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0008_S38_L002_R2_001.fastq.gz,D3A,control,D3A_LSK_3,D3A_D3A
9,D3A_LSK_4,Mouse,S39,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0009_S39_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0009_S39_L002_R2_001.fastq.gz,D3A,control,D3A_LSK_4,D3A_D3A
10,D3A_LSK_5,Mouse,S40,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0010_S40_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0010_S40_L002_R2_001.fastq.gz,D3A,control,D3A_LSK_5,D3A_D3A
11,WT_LSK_IFNa_1,Mouse,S41,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0011_S41_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0011_S41_L002_R2_001.fastq.gz,WT,IFNa,WT_LSK_IFNa_1,WT_WT
12,WT_LSK_IFNa_2,Mouse,S42,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0012_S42_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0012_S42_L002_R2_001.fastq.gz,WT,IFNa,WT_LSK_IFNa_2,WT_WT
13,WT_LSK_IFNa_3,Mouse,S43,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0013_S43_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0013_S43_L002_R2_001.fastq.gz,WT,IFNa,WT_LSK_IFNa_3,WT_WT
14,WT_LSK_IFNa_4,Mouse,S44,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0014_S44_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0014_S44_L002_R2_001.fastq.gz,WT,IFNa,WT_LSK_IFNa_4,WT_WT
15,WT_LSK_IFNa_5,Mouse,S45,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0015_S45_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0015_S45_L002_R2_001.fastq.gz,WT,IFNa,WT_LSK_IFNa_5,WT_WT
16,D3A_LSK_IFNa_1,Mouse,S46,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0016_S46_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0016_S46_L002_R2_001.fastq.gz,D3A,IFNa,D3A_LSK_IFNa_1,D3A_D3A
17,D3A_LSK_IFNa_2,Mouse,S47,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0017_S47_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0017_S47_L002_R2_001.fastq.gz,D3A,IFNa,D3A_LSK_IFNa_2,D3A_D3A
18,D3A_LSK_IFNa_3,Mouse,S48,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0018_S48_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0018_S48_L002_R2_001.fastq.gz,D3A,IFNa,D3A_LSK_IFNa_3,D3A_D3A
19,D3A_LSK_IFNa_4,Mouse,S49,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0019_S49_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0019_S49_L002_R2_001.fastq.gz,D3A,IFNa,D3A_LSK_IFNa_4,D3A_D3A
20,D3A_LSK_IFNa_5,Mouse,S50,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0020_S50_L002_R1_001.fastq.gz,/work/InternalMedicine/s184335/sc/workspace/sisi/fastq//L7761-0001-0020_S50_L002_R2_001.fastq.gz,D3A,IFNa,D3A_LSK_IFNa_5,D3A_D3A
